"label","n","parent","id"
"Brazil",102,"total  -  Family","total  -  Family  -  Brazil"
"Brazil",23,"total  -  Fantasy","total  -  Fantasy  -  Brazil"
"Brazil",3,"total  -  Film Noir","total  -  Film Noir  -  Brazil"
"Brazil",4,"total  -  Game Show","total  -  Game Show  -  Brazil"
"Brazil",1,"total  -  History","total  -  History  -  Brazil"
"Brazil",24,"total  -  Horror","total  -  Horror  -  Brazil"
"Brazil",40,"total  -  Music","total  -  Music  -  Brazil"
"Brazil",54,"total  -  Musical","total  -  Musical  -  Brazil"
"Brazil",40,"total  -  Mystery","total  -  Mystery  -  Brazil"
"Brazil",11,"total  -  Reality TV","total  -  Reality TV  -  Brazil"
"Brazil",118,"total  -  Romance","total  -  Romance  -  Brazil"
"Brazil",20,"total  -  Sci Fi","total  -  Sci Fi  -  Brazil"
"Brazil",2,"total  -  Short","total  -  Short  -  Brazil"
"Brazil",7,"total  -  Sport","total  -  Sport  -  Brazil"
"Brazil",65,"total  -  Thriller","total  -  Thriller  -  Brazil"
"Brazil",2,"total  -  War","total  -  War  -  Brazil"
"Bulgaria",218,"total  -  Action","total  -  Action  -  Bulgaria"
"Bulgaria",2,"total  -  Adult","total  -  Adult  -  Bulgaria"
"Bulgaria",119,"total  -  Adventure","total  -  Adventure  -  Bulgaria"
"Bulgaria",48,"total  -  Animation","total  -  Animation  -  Bulgaria"
"Bulgaria",10,"total  -  Biography","total  -  Biography  -  Bulgaria"
"Bulgaria",186,"total  -  Comedy","total  -  Comedy  -  Bulgaria"
"Bulgaria",127,"total  -  Crime","total  -  Crime  -  Bulgaria"
"Bulgaria",34,"total  -  Documentary","total  -  Documentary  -  Bulgaria"
"Bulgaria",316,"total  -  Drama","total  -  Drama  -  Bulgaria"
"Bulgaria",21,"total  -  Family","total  -  Family  -  Bulgaria"
"Bulgaria",38,"total  -  Fantasy","total  -  Fantasy  -  Bulgaria"
"Bulgaria",3,"total  -  Film Noir","total  -  Film Noir  -  Bulgaria"
"Bulgaria",10,"total  -  Game Show","total  -  Game Show  -  Bulgaria"
"Bulgaria",2,"total  -  History","total  -  History  -  Bulgaria"
"Bulgaria",27,"total  -  Horror","total  -  Horror  -  Bulgaria"
"Bulgaria",2,"total  -  Music","total  -  Music  -  Bulgaria"
"Bulgaria",2,"total  -  Musical","total  -  Musical  -  Bulgaria"
"Bulgaria",46,"total  -  Mystery","total  -  Mystery  -  Bulgaria"
"Bulgaria",15,"total  -  Reality TV","total  -  Reality TV  -  Bulgaria"
"Bulgaria",97,"total  -  Romance","total  -  Romance  -  Bulgaria"
"Bulgaria",40,"total  -  Sci Fi","total  -  Sci Fi  -  Bulgaria"
"Bulgaria",11,"total  -  Sport","total  -  Sport  -  Bulgaria"
"Bulgaria",69,"total  -  Thriller","total  -  Thriller  -  Bulgaria"
"Bulgaria",3,"total  -  War","total  -  War  -  Bulgaria"
"Canada",174,"total  -  Action","total  -  Action  -  Canada"
"Canada",5,"total  -  Adult","total  -  Adult  -  Canada"
"Canada",96,"total  -  Adventure","total  -  Adventure  -  Canada"
"Canada",50,"total  -  Animation","total  -  Animation  -  Canada"
"Canada",17,"total  -  Biography","total  -  Biography  -  Canada"
"Canada",179,"total  -  Comedy","total  -  Comedy  -  Canada"
"Canada",156,"total  -  Crime","total  -  Crime  -  Canada"
"Canada",35,"total  -  Documentary","total  -  Documentary  -  Canada"
"Canada",293,"total  -  Drama","total  -  Drama  -  Canada"
"Canada",10,"total  -  Family","total  -  Family  -  Canada"
"Canada",25,"total  -  Fantasy","total  -  Fantasy  -  Canada"
"Canada",3,"total  -  Film Noir","total  -  Film Noir  -  Canada"
"Canada",11,"total  -  Game Show","total  -  Game Show  -  Canada"
"Canada",5,"total  -  History","total  -  History  -  Canada"
"Canada",31,"total  -  Horror","total  -  Horror  -  Canada"
"Canada",2,"total  -  Musical","total  -  Musical  -  Canada"
"Canada",61,"total  -  Mystery","total  -  Mystery  -  Canada"
"Canada",27,"total  -  Reality TV","total  -  Reality TV  -  Canada"
"Canada",70,"total  -  Romance","total  -  Romance  -  Canada"
"Canada",35,"total  -  Sci Fi","total  -  Sci Fi  -  Canada"
"Canada",10,"total  -  Sport","total  -  Sport  -  Canada"
"Canada",74,"total  -  Thriller","total  -  Thriller  -  Canada"
"Canada",5,"total  -  War","total  -  War  -  Canada"
"Chile",130,"total  -  Action","total  -  Action  -  Chile"
"Chile",1,"total  -  Adult","total  -  Adult  -  Chile"
"Chile",115,"total  -  Adventure","total  -  Adventure  -  Chile"
"Chile",76,"total  -  Animation","total  -  Animation  -  Chile"
"Chile",5,"total  -  Biography","total  -  Biography  -  Chile"
"Chile",202,"total  -  Comedy","total  -  Comedy  -  Chile"
"Chile",104,"total  -  Crime","total  -  Crime  -  Chile"
"Chile",12,"total  -  Documentary","total  -  Documentary  -  Chile"
"Chile",329,"total  -  Drama","total  -  Drama  -  Chile"
"Chile",15,"total  -  Family","total  -  Family  -  Chile"
"Chile",20,"total  -  Fantasy","total  -  Fantasy  -  Chile"
"Chile",2,"total  -  Film Noir","total  -  Film Noir  -  Chile"
"Chile",2,"total  -  History","total  -  History  -  Chile"
"Chile",26,"total  -  Horror","total  -  Horror  -  Chile"
"Chile",35,"total  -  Music","total  -  Music  -  Chile"
"Chile",2,"total  -  Musical","total  -  Musical  -  Chile"
"Chile",43,"total  -  Mystery","total  -  Mystery  -  Chile"
