"parents","n","labels","id"
"Canada",50,"Animation","Canada  -  Animation"
"Canada",17,"Biography","Canada  -  Biography"
"Canada",179,"Comedy","Canada  -  Comedy"
"Canada",156,"Crime","Canada  -  Crime"
"Canada",35,"Documentary","Canada  -  Documentary"
"Canada",293,"Drama","Canada  -  Drama"
"Canada",10,"Family","Canada  -  Family"
"Canada",25,"Fantasy","Canada  -  Fantasy"
"Canada",3,"Film Noir","Canada  -  Film Noir"
"Canada",11,"Game Show","Canada  -  Game Show"
"Canada",5,"History","Canada  -  History"
"Canada",31,"Horror","Canada  -  Horror"
"Canada",2,"Musical","Canada  -  Musical"
"Canada",61,"Mystery","Canada  -  Mystery"
"Canada",27,"Reality TV","Canada  -  Reality TV"
"Canada",70,"Romance","Canada  -  Romance"
"Canada",35,"Sci Fi","Canada  -  Sci Fi"
"Canada",10,"Sport","Canada  -  Sport"
"Canada",74,"Thriller","Canada  -  Thriller"
"Canada",5,"War","Canada  -  War"
"Chile",130,"Action","Chile  -  Action"
"Chile",1,"Adult","Chile  -  Adult"
"Chile",115,"Adventure","Chile  -  Adventure"
"Chile",76,"Animation","Chile  -  Animation"
"Chile",5,"Biography","Chile  -  Biography"
"Chile",202,"Comedy","Chile  -  Comedy"
"Chile",104,"Crime","Chile  -  Crime"
"Chile",12,"Documentary","Chile  -  Documentary"
"Chile",329,"Drama","Chile  -  Drama"
"Chile",15,"Family","Chile  -  Family"
"Chile",20,"Fantasy","Chile  -  Fantasy"
"Chile",2,"Film Noir","Chile  -  Film Noir"
"Chile",2,"History","Chile  -  History"
"Chile",26,"Horror","Chile  -  Horror"
"Chile",35,"Music","Chile  -  Music"
"Chile",2,"Musical","Chile  -  Musical"
"Chile",43,"Mystery","Chile  -  Mystery"
"Chile",2,"Reality TV","Chile  -  Reality TV"
"Chile",124,"Romance","Chile  -  Romance"
"Chile",19,"Sci Fi","Chile  -  Sci Fi"
"Chile",1,"Short","Chile  -  Short"
"Chile",7,"Sport","Chile  -  Sport"
"Chile",64,"Thriller","Chile  -  Thriller"
"Chile",3,"War","Chile  -  War"
"Chile",3,"Western","Chile  -  Western"
"Colombia",144,"Action","Colombia  -  Action"
"Colombia",2,"Adult","Colombia  -  Adult"
"Colombia",104,"Adventure","Colombia  -  Adventure"
"Colombia",63,"Animation","Colombia  -  Animation"
"Colombia",6,"Biography","Colombia  -  Biography"
"Colombia",192,"Comedy","Colombia  -  Comedy"
"Colombia",113,"Crime","Colombia  -  Crime"
