"id","n","label","parent"
"total  -  Crime  -  Cyprus",129,"Cyprus","total  -  Crime"
"total  -  Drama  -  Cyprus",330,"Cyprus","total  -  Drama"
"total  -  Mystery  -  Cyprus",50,"Cyprus","total  -  Mystery"
"total  -  Romance  -  Cyprus",94,"Cyprus","total  -  Romance"
"total  -  Sci Fi  -  Cyprus",44,"Cyprus","total  -  Sci Fi"
"total  -  Thriller  -  Cyprus",67,"Cyprus","total  -  Thriller"
"total  -  Action  -  Czech Republic",196,"Czech Republic","total  -  Action"
"total  -  Adventure  -  Czech Republic",145,"Czech Republic","total  -  Adventure"
"total  -  Animation  -  Czech Republic",81,"Czech Republic","total  -  Animation"
"total  -  Comedy  -  Czech Republic",196,"Czech Republic","total  -  Comedy"
"total  -  Crime  -  Czech Republic",135,"Czech Republic","total  -  Crime"
"total  -  Drama  -  Czech Republic",298,"Czech Republic","total  -  Drama"
"total  -  Fantasy  -  Czech Republic",45,"Czech Republic","total  -  Fantasy"
"total  -  Mystery  -  Czech Republic",54,"Czech Republic","total  -  Mystery"
"total  -  Romance  -  Czech Republic",70,"Czech Republic","total  -  Romance"
"total  -  Thriller  -  Czech Republic",53,"Czech Republic","total  -  Thriller"
"total  -  Action  -  Denmark",186,"Denmark","total  -  Action"
"total  -  Adventure  -  Denmark",114,"Denmark","total  -  Adventure"
"total  -  Animation  -  Denmark",54,"Denmark","total  -  Animation"
"total  -  Comedy  -  Denmark",184,"Denmark","total  -  Comedy"
"total  -  Crime  -  Denmark",150,"Denmark","total  -  Crime"
"total  -  Drama  -  Denmark",319,"Denmark","total  -  Drama"
"total  -  Fantasy  -  Denmark",37,"Denmark","total  -  Fantasy"
"total  -  Mystery  -  Denmark",54,"Denmark","total  -  Mystery"
"total  -  Romance  -  Denmark",85,"Denmark","total  -  Romance"
"total  -  Thriller  -  Denmark",66,"Denmark","total  -  Thriller"
"total  -  Action  -  Dominican Republic",175,"Dominican Republic","total  -  Action"
"total  -  Adventure  -  Dominican Republic",103,"Dominican Republic","total  -  Adventure"
"total  -  Animation  -  Dominican Republic",53,"Dominican Republic","total  -  Animation"
"total  -  Comedy  -  Dominican Republic",163,"Dominican Republic","total  -  Comedy"
"total  -  Crime  -  Dominican Republic",119,"Dominican Republic","total  -  Crime"
"total  -  Drama  -  Dominican Republic",276,"Dominican Republic","total  -  Drama"
"total  -  Fantasy  -  Dominican Republic",33,"Dominican Republic","total  -  Fantasy"
"total  -  Mystery  -  Dominican Republic",34,"Dominican Republic","total  -  Mystery"
"total  -  Romance  -  Dominican Republic",85,"Dominican Republic","total  -  Romance"
"total  -  Thriller  -  Dominican Republic",80,"Dominican Republic","total  -  Thriller"
"total  -  Action  -  Ecuador",146,"Ecuador","total  -  Action"
"total  -  Adventure  -  Ecuador",116,"Ecuador","total  -  Adventure"
"total  -  Animation  -  Ecuador",71,"Ecuador","total  -  Animation"
"total  -  Comedy  -  Ecuador",205,"Ecuador","total  -  Comedy"
"total  -  Crime  -  Ecuador",89,"Ecuador","total  -  Crime"
"total  -  Drama  -  Ecuador",269,"Ecuador","total  -  Drama"
"total  -  Music  -  Ecuador",31,"Ecuador","total  -  Music"
"total  -  Mystery  -  Ecuador",36,"Ecuador","total  -  Mystery"
"total  -  Romance  -  Ecuador",108,"Ecuador","total  -  Romance"
"total  -  Thriller  -  Ecuador",70,"Ecuador","total  -  Thriller"
"total  -  Action  -  Egypt",188,"Egypt","total  -  Action"
"total  -  Adventure  -  Egypt",100,"Egypt","total  -  Adventure"
"total  -  Animation  -  Egypt",37,"Egypt","total  -  Animation"
"total  -  Comedy  -  Egypt",190,"Egypt","total  -  Comedy"
"total  -  Crime  -  Egypt",113,"Egypt","total  -  Crime"
"total  -  Drama  -  Egypt",330,"Egypt","total  -  Drama"
"total  -  Fantasy  -  Egypt",34,"Egypt","total  -  Fantasy"
"total  -  Mystery  -  Egypt",45,"Egypt","total  -  Mystery"
"total  -  Romance  -  Egypt",102,"Egypt","total  -  Romance"
"total  -  Thriller  -  Egypt",85,"Egypt","total  -  Thriller"
"total  -  Action  -  El Salvador",139,"El Salvador","total  -  Action"
"total  -  Adventure  -  El Salvador",103,"El Salvador","total  -  Adventure"
"total  -  Animation  -  El Salvador",66,"El Salvador","total  -  Animation"
"total  -  Comedy  -  El Salvador",189,"El Salvador","total  -  Comedy"
"total  -  Crime  -  El Salvador",105,"El Salvador","total  -  Crime"
"total  -  Drama  -  El Salvador",287,"El Salvador","total  -  Drama"
"total  -  Music  -  El Salvador",30,"El Salvador","total  -  Music"
"total  -  Mystery  -  El Salvador",36,"El Salvador","total  -  Mystery"
"total  -  Romance  -  El Salvador",113,"El Salvador","total  -  Romance"
"total  -  Thriller  -  El Salvador",69,"El Salvador","total  -  Thriller"
"total  -  Action  -  Estonia",195,"Estonia","total  -  Action"
"total  -  Adventure  -  Estonia",118,"Estonia","total  -  Adventure"
"total  -  Animation  -  Estonia",50,"Estonia","total  -  Animation"
"total  -  Comedy  -  Estonia",206,"Estonia","total  -  Comedy"
"total  -  Crime  -  Estonia",121,"Estonia","total  -  Crime"
"total  -  Drama  -  Estonia",264,"Estonia","total  -  Drama"
"total  -  Mystery  -  Estonia",60,"Estonia","total  -  Mystery"
"total  -  Romance  -  Estonia",72,"Estonia","total  -  Romance"
"total  -  Sci Fi  -  Estonia",49,"Estonia","total  -  Sci Fi"
"total  -  Thriller  -  Estonia",64,"Estonia","total  -  Thriller"
"total  -  Action  -  Finland",200,"Finland","total  -  Action"
"total  -  Adventure  -  Finland",106,"Finland","total  -  Adventure"
"total  -  Animation  -  Finland",54,"Finland","total  -  Animation"
"total  -  Comedy  -  Finland",173,"Finland","total  -  Comedy"
"total  -  Crime  -  Finland",155,"Finland","total  -  Crime"
"total  -  Drama  -  Finland",338,"Finland","total  -  Drama"
"total  -  Fantasy  -  Finland",33,"Finland","total  -  Fantasy"
"total  -  Mystery  -  Finland",56,"Finland","total  -  Mystery"
"total  -  Romance  -  Finland",74,"Finland","total  -  Romance"
"total  -  Thriller  -  Finland",63,"Finland","total  -  Thriller"
"total  -  Action  -  France",193,"France","total  -  Action"
"total  -  Adventure  -  France",128,"France","total  -  Adventure"
"total  -  Animation  -  France",50,"France","total  -  Animation"
"total  -  Comedy  -  France",162,"France","total  -  Comedy"
"total  -  Crime  -  France",143,"France","total  -  Crime"
"total  -  Drama  -  France",348,"France","total  -  Drama"
"total  -  Fantasy  -  France",54,"France","total  -  Fantasy"
"total  -  Mystery  -  France",49,"France","total  -  Mystery"
"total  -  Romance  -  France",70,"France","total  -  Romance"
"total  -  Thriller  -  France",86,"France","total  -  Thriller"
"total  -  Action  -  Germany",204,"Germany","total  -  Action"
"total  -  Adventure  -  Germany",139,"Germany","total  -  Adventure"
"total  -  Animation  -  Germany",47,"Germany","total  -  Animation"
"total  -  Comedy  -  Germany",181,"Germany","total  -  Comedy"
"total  -  Crime  -  Germany",153,"Germany","total  -  Crime"
"total  -  Drama  -  Germany",323,"Germany","total  -  Drama"
"total  -  Fantasy  -  Germany",59,"Germany","total  -  Fantasy"
"total  -  Mystery  -  Germany",55,"Germany","total  -  Mystery"
"total  -  Romance  -  Germany",73,"Germany","total  -  Romance"
"total  -  Thriller  -  Germany",85,"Germany","total  -  Thriller"
"total  -  Action  -  Greece",180,"Greece","total  -  Action"
"total  -  Adventure  -  Greece",116,"Greece","total  -  Adventure"
"total  -  Animation  -  Greece",50,"Greece","total  -  Animation"
"total  -  Comedy  -  Greece",176,"Greece","total  -  Comedy"
"total  -  Crime  -  Greece",132,"Greece","total  -  Crime"
"total  -  Drama  -  Greece",334,"Greece","total  -  Drama"
"total  -  Fantasy  -  Greece",42,"Greece","total  -  Fantasy"
"total  -  Mystery  -  Greece",57,"Greece","total  -  Mystery"
"total  -  Romance  -  Greece",92,"Greece","total  -  Romance"
"total  -  Thriller  -  Greece",64,"Greece","total  -  Thriller"
"total  -  Action  -  Guadeloupe",212,"Guadeloupe","total  -  Action"
"total  -  Adventure  -  Guadeloupe",102,"Guadeloupe","total  -  Adventure"
"total  -  Animation  -  Guadeloupe",47,"Guadeloupe","total  -  Animation"
"total  -  Comedy  -  Guadeloupe",162,"Guadeloupe","total  -  Comedy"
"total  -  Crime  -  Guadeloupe",139,"Guadeloupe","total  -  Crime"
"total  -  Drama  -  Guadeloupe",341,"Guadeloupe","total  -  Drama"
"total  -  Fantasy  -  Guadeloupe",48,"Guadeloupe","total  -  Fantasy"
"total  -  Mystery  -  Guadeloupe",40,"Guadeloupe","total  -  Mystery"
"total  -  Romance  -  Guadeloupe",73,"Guadeloupe","total  -  Romance"
"total  -  Thriller  -  Guadeloupe",73,"Guadeloupe","total  -  Thriller"
"total  -  Action  -  Guatemala",123,"Guatemala","total  -  Action"
"total  -  Adventure  -  Guatemala",100,"Guatemala","total  -  Adventure"
"total  -  Animation  -  Guatemala",65,"Guatemala","total  -  Animation"
"total  -  Comedy  -  Guatemala",202,"Guatemala","total  -  Comedy"
"total  -  Crime  -  Guatemala",99,"Guatemala","total  -  Crime"
"total  -  Drama  -  Guatemala",295,"Guatemala","total  -  Drama"
"total  -  Music  -  Guatemala",31,"Guatemala","total  -  Music"
"total  -  Mystery  -  Guatemala",41,"Guatemala","total  -  Mystery"
"total  -  Romance  -  Guatemala",121,"Guatemala","total  -  Romance"
"total  -  Thriller  -  Guatemala",64,"Guatemala","total  -  Thriller"
"total  -  Action  -  Honduras",131,"Honduras","total  -  Action"
"total  -  Adventure  -  Honduras",85,"Honduras","total  -  Adventure"
"total  -  Animation  -  Honduras",48,"Honduras","total  -  Animation"
"total  -  Comedy  -  Honduras",194,"Honduras","total  -  Comedy"
"total  -  Crime  -  Honduras",107,"Honduras","total  -  Crime"
"total  -  Drama  -  Honduras",304,"Honduras","total  -  Drama"
"total  -  Music  -  Honduras",31,"Honduras","total  -  Music"
"total  -  Mystery  -  Honduras",41,"Honduras","total  -  Mystery"
"total  -  Romance  -  Honduras",127,"Honduras","total  -  Romance"
"total  -  Thriller  -  Honduras",70,"Honduras","total  -  Thriller"
"total  -  Action  -  Hong Kong",238,"Hong Kong","total  -  Action"
"total  -  Adventure  -  Hong Kong",113,"Hong Kong","total  -  Adventure"
"total  -  Comedy  -  Hong Kong",159,"Hong Kong","total  -  Comedy"
"total  -  Crime  -  Hong Kong",107,"Hong Kong","total  -  Crime"
"total  -  Drama  -  Hong Kong",325,"Hong Kong","total  -  Drama"
"total  -  Fantasy  -  Hong Kong",44,"Hong Kong","total  -  Fantasy"
"total  -  Mystery  -  Hong Kong",73,"Hong Kong","total  -  Mystery"
"total  -  Romance  -  Hong Kong",120,"Hong Kong","total  -  Romance"
"total  -  Sci Fi  -  Hong Kong",65,"Hong Kong","total  -  Sci Fi"
"total  -  Thriller  -  Hong Kong",79,"Hong Kong","total  -  Thriller"
"total  -  Action  -  Hungary",189,"Hungary","total  -  Action"
"total  -  Adventure  -  Hungary",117,"Hungary","total  -  Adventure"
"total  -  Animation  -  Hungary",65,"Hungary","total  -  Animation"
"total  -  Comedy  -  Hungary",195,"Hungary","total  -  Comedy"
"total  -  Crime  -  Hungary",154,"Hungary","total  -  Crime"
"total  -  Drama  -  Hungary",326,"Hungary","total  -  Drama"
"total  -  Fantasy  -  Hungary",39,"Hungary","total  -  Fantasy"
"total  -  Mystery  -  Hungary",54,"Hungary","total  -  Mystery"
"total  -  Romance  -  Hungary",97,"Hungary","total  -  Romance"
"total  -  Thriller  -  Hungary",61,"Hungary","total  -  Thriller"
"total  -  Action  -  Iceland",179,"Iceland","total  -  Action"
"total  -  Adventure  -  Iceland",121,"Iceland","total  -  Adventure"
"total  -  Animation  -  Iceland",49,"Iceland","total  -  Animation"
"total  -  Comedy  -  Iceland",200,"Iceland","total  -  Comedy"
"total  -  Crime  -  Iceland",135,"Iceland","total  -  Crime"
"total  -  Drama  -  Iceland",290,"Iceland","total  -  Drama"
"total  -  Mystery  -  Iceland",51,"Iceland","total  -  Mystery"
"total  -  Romance  -  Iceland",80,"Iceland","total  -  Romance"
"total  -  Sci Fi  -  Iceland",37,"Iceland","total  -  Sci Fi"
"total  -  Thriller  -  Iceland",64,"Iceland","total  -  Thriller"
"total  -  Action  -  India",252,"India","total  -  Action"
"total  -  Adventure  -  India",62,"India","total  -  Adventure"
"total  -  Comedy  -  India",189,"India","total  -  Comedy"
"total  -  Crime  -  India",211,"India","total  -  Crime"
"total  -  Drama  -  India",397,"India","total  -  Drama"
"total  -  Fantasy  -  India",42,"India","total  -  Fantasy"
"total  -  Horror  -  India",26,"India","total  -  Horror"
"total  -  Mystery  -  India",79,"India","total  -  Mystery"
"total  -  Romance  -  India",88,"India","total  -  Romance"
"total  -  Thriller  -  India",84,"India","total  -  Thriller"
"total  -  Action  -  Indonesia",205,"Indonesia","total  -  Action"
"total  -  Adventure  -  Indonesia",84,"Indonesia","total  -  Adventure"
"total  -  Comedy  -  Indonesia",180,"Indonesia","total  -  Comedy"
"total  -  Crime  -  Indonesia",135,"Indonesia","total  -  Crime"
"total  -  Drama  -  Indonesia",316,"Indonesia","total  -  Drama"
"total  -  Horror  -  Indonesia",46,"Indonesia","total  -  Horror"
"total  -  Mystery  -  Indonesia",70,"Indonesia","total  -  Mystery"
"total  -  Romance  -  Indonesia",110,"Indonesia","total  -  Romance"
"total  -  Sci Fi  -  Indonesia",42,"Indonesia","total  -  Sci Fi"
"total  -  Thriller  -  Indonesia",90,"Indonesia","total  -  Thriller"
"total  -  Action  -  Ireland",139,"Ireland","total  -  Action"
"total  -  Adventure  -  Ireland",129,"Ireland","total  -  Adventure"
"total  -  Animation  -  Ireland",66,"Ireland","total  -  Animation"
"total  -  Comedy  -  Ireland",218,"Ireland","total  -  Comedy"
"total  -  Crime  -  Ireland",135,"Ireland","total  -  Crime"
"total  -  Documentary  -  Ireland",39,"Ireland","total  -  Documentary"
"total  -  Drama  -  Ireland",300,"Ireland","total  -  Drama"
"total  -  Mystery  -  Ireland",37,"Ireland","total  -  Mystery"
"total  -  Romance  -  Ireland",81,"Ireland","total  -  Romance"
"total  -  Thriller  -  Ireland",69,"Ireland","total  -  Thriller"
"total  -  Action  -  Israel",188,"Israel","total  -  Action"
"total  -  Adventure  -  Israel",109,"Israel","total  -  Adventure"
"total  -  Animation  -  Israel",51,"Israel","total  -  Animation"
"total  -  Comedy  -  Israel",180,"Israel","total  -  Comedy"
"total  -  Crime  -  Israel",124,"Israel","total  -  Crime"
"total  -  Drama  -  Israel",332,"Israel","total  -  Drama"
"total  -  Mystery  -  Israel",39,"Israel","total  -  Mystery"
"total  -  Romance  -  Israel",84,"Israel","total  -  Romance"
"total  -  Sci Fi  -  Israel",38,"Israel","total  -  Sci Fi"
"total  -  Thriller  -  Israel",92,"Israel","total  -  Thriller"
"total  -  Action  -  Italy",167,"Italy","total  -  Action"
"total  -  Adventure  -  Italy",81,"Italy","total  -  Adventure"
"total  -  Comedy  -  Italy",183,"Italy","total  -  Comedy"
"total  -  Crime  -  Italy",151,"Italy","total  -  Crime"
"total  -  Drama  -  Italy",368,"Italy","total  -  Drama"
"total  -  Fantasy  -  Italy",37,"Italy","total  -  Fantasy"
"total  -  Mystery  -  Italy",67,"Italy","total  -  Mystery"
"total  -  Romance  -  Italy",96,"Italy","total  -  Romance"
"total  -  Sci Fi  -  Italy",35,"Italy","total  -  Sci Fi"
"total  -  Thriller  -  Italy",62,"Italy","total  -  Thriller"
"total  -  Action  -  Jamaica",215,"Jamaica","total  -  Action"
"total  -  Adventure  -  Jamaica",116,"Jamaica","total  -  Adventure"
"total  -  Animation  -  Jamaica",82,"Jamaica","total  -  Animation"
"total  -  Comedy  -  Jamaica",188,"Jamaica","total  -  Comedy"
"total  -  Crime  -  Jamaica",149,"Jamaica","total  -  Crime"
"total  -  Drama  -  Jamaica",296,"Jamaica","total  -  Drama"
"total  -  Fantasy  -  Jamaica",39,"Jamaica","total  -  Fantasy"
"total  -  Mystery  -  Jamaica",38,"Jamaica","total  -  Mystery"
"total  -  Romance  -  Jamaica",72,"Jamaica","total  -  Romance"
"total  -  Thriller  -  Jamaica",94,"Jamaica","total  -  Thriller"
"total  -  Action  -  Japan",227,"Japan","total  -  Action"
"total  -  Adventure  -  Japan",156,"Japan","total  -  Adventure"
"total  -  Animation  -  Japan",98,"Japan","total  -  Animation"
