"id","n","label","parent"
"total  -  Action  -  Spain",162,"Spain","total  -  Action"
"total  -  Adventure  -  Spain",97,"Spain","total  -  Adventure"
"total  -  Animation  -  Spain",30,"Spain","total  -  Animation"
"total  -  Comedy  -  Spain",182,"Spain","total  -  Comedy"
"total  -  Crime  -  Spain",139,"Spain","total  -  Crime"
"total  -  Drama  -  Spain",326,"Spain","total  -  Drama"
"total  -  Fantasy  -  Spain",31,"Spain","total  -  Fantasy"
"total  -  Horror  -  Spain",30,"Spain","total  -  Horror"
"total  -  Mystery  -  Spain",51,"Spain","total  -  Mystery"
"total  -  Romance  -  Spain",111,"Spain","total  -  Romance"
"total  -  Thriller  -  Spain",68,"Spain","total  -  Thriller"
"total  -  Action  -  Sri Lanka",180,"Sri Lanka","total  -  Action"
"total  -  Adventure  -  Sri Lanka",66,"Sri Lanka","total  -  Adventure"
"total  -  Comedy  -  Sri Lanka",182,"Sri Lanka","total  -  Comedy"
"total  -  Crime  -  Sri Lanka",140,"Sri Lanka","total  -  Crime"
"total  -  Drama  -  Sri Lanka",371,"Sri Lanka","total  -  Drama"
"total  -  Fantasy  -  Sri Lanka",31,"Sri Lanka","total  -  Fantasy"
"total  -  Mystery  -  Sri Lanka",79,"Sri Lanka","total  -  Mystery"
"total  -  Romance  -  Sri Lanka",106,"Sri Lanka","total  -  Romance"
"total  -  Sci Fi  -  Sri Lanka",42,"Sri Lanka","total  -  Sci Fi"
"total  -  Thriller  -  Sri Lanka",76,"Sri Lanka","total  -  Thriller"
"total  -  Action  -  Sweden",183,"Sweden","total  -  Action"
"total  -  Adventure  -  Sweden",118,"Sweden","total  -  Adventure"
"total  -  Animation  -  Sweden",54,"Sweden","total  -  Animation"
"total  -  Comedy  -  Sweden",161,"Sweden","total  -  Comedy"
"total  -  Crime  -  Sweden",142,"Sweden","total  -  Crime"
"total  -  Drama  -  Sweden",342,"Sweden","total  -  Drama"
"total  -  Fantasy  -  Sweden",41,"Sweden","total  -  Fantasy"
"total  -  Mystery  -  Sweden",53,"Sweden","total  -  Mystery"
"total  -  Romance  -  Sweden",81,"Sweden","total  -  Romance"
"total  -  Thriller  -  Sweden",64,"Sweden","total  -  Thriller"
"total  -  Action  -  Switzerland",180,"Switzerland","total  -  Action"
"total  -  Adventure  -  Switzerland",110,"Switzerland","total  -  Adventure"
"total  -  Comedy  -  Switzerland",186,"Switzerland","total  -  Comedy"
"total  -  Crime  -  Switzerland",153,"Switzerland","total  -  Crime"
"total  -  Drama  -  Switzerland",346,"Switzerland","total  -  Drama"
"total  -  Family  -  Switzerland",34,"Switzerland","total  -  Family"
"total  -  Fantasy  -  Switzerland",52,"Switzerland","total  -  Fantasy"
"total  -  Mystery  -  Switzerland",59,"Switzerland","total  -  Mystery"
"total  -  Romance  -  Switzerland",85,"Switzerland","total  -  Romance"
"total  -  Thriller  -  Switzerland",70,"Switzerland","total  -  Thriller"
"total  -  Action  -  Taiwan",193,"Taiwan","total  -  Action"
"total  -  Adventure  -  Taiwan",102,"Taiwan","total  -  Adventure"
"total  -  Comedy  -  Taiwan",169,"Taiwan","total  -  Comedy"
"total  -  Crime  -  Taiwan",101,"Taiwan","total  -  Crime"
"total  -  Drama  -  Taiwan",347,"Taiwan","total  -  Drama"
"total  -  Fantasy  -  Taiwan",36,"Taiwan","total  -  Fantasy"
"total  -  Mystery  -  Taiwan",78,"Taiwan","total  -  Mystery"
"total  -  Romance  -  Taiwan",148,"Taiwan","total  -  Romance"
"total  -  Sci Fi  -  Taiwan",52,"Taiwan","total  -  Sci Fi"
"total  -  Thriller  -  Taiwan",67,"Taiwan","total  -  Thriller"
"total  -  Action  -  Thailand",242,"Thailand","total  -  Action"
"total  -  Adventure  -  Thailand",145,"Thailand","total  -  Adventure"
"total  -  Animation  -  Thailand",46,"Thailand","total  -  Animation"
"total  -  Comedy  -  Thailand",206,"Thailand","total  -  Comedy"
"total  -  Crime  -  Thailand",117,"Thailand","total  -  Crime"
"total  -  Drama  -  Thailand",263,"Thailand","total  -  Drama"
"total  -  Mystery  -  Thailand",60,"Thailand","total  -  Mystery"
"total  -  Romance  -  Thailand",133,"Thailand","total  -  Romance"
"total  -  Sci Fi  -  Thailand",47,"Thailand","total  -  Sci Fi"
"total  -  Thriller  -  Thailand",84,"Thailand","total  -  Thriller"
"total  -  Action  -  Trinidad and Tobago",194,"Trinidad and Tobago","total  -  Action"
"total  -  Adventure  -  Trinidad and Tobago",105,"Trinidad and Tobago","total  -  Adventure"
"total  -  Animation  -  Trinidad and Tobago",57,"Trinidad and Tobago","total  -  Animation"
"total  -  Comedy  -  Trinidad and Tobago",174,"Trinidad and Tobago","total  -  Comedy"
"total  -  Crime  -  Trinidad and Tobago",150,"Trinidad and Tobago","total  -  Crime"
"total  -  Drama  -  Trinidad and Tobago",312,"Trinidad and Tobago","total  -  Drama"
"total  -  Fantasy  -  Trinidad and Tobago",33,"Trinidad and Tobago","total  -  Fantasy"
"total  -  Mystery  -  Trinidad and Tobago",43,"Trinidad and Tobago","total  -  Mystery"
"total  -  Romance  -  Trinidad and Tobago",82,"Trinidad and Tobago","total  -  Romance"
"total  -  Thriller  -  Trinidad and Tobago",96,"Trinidad and Tobago","total  -  Thriller"
"total  -  Action  -  Turkey",201,"Turkey","total  -  Action"
"total  -  Adventure  -  Turkey",115,"Turkey","total  -  Adventure"
"total  -  Comedy  -  Turkey",163,"Turkey","total  -  Comedy"
"total  -  Crime  -  Turkey",139,"Turkey","total  -  Crime"
"total  -  Drama  -  Turkey",374,"Turkey","total  -  Drama"
"total  -  Fantasy  -  Turkey",61,"Turkey","total  -  Fantasy"
"total  -  Horror  -  Turkey",38,"Turkey","total  -  Horror"
"total  -  Mystery  -  Turkey",52,"Turkey","total  -  Mystery"
"total  -  Romance  -  Turkey",81,"Turkey","total  -  Romance"
"total  -  Thriller  -  Turkey",83,"Turkey","total  -  Thriller"
"total  -  Action  -  Ukraine",211,"Ukraine","total  -  Action"
"total  -  Adventure  -  Ukraine",129,"Ukraine","total  -  Adventure"
"total  -  Animation  -  Ukraine",63,"Ukraine","total  -  Animation"
"total  -  Comedy  -  Ukraine",194,"Ukraine","total  -  Comedy"
"total  -  Crime  -  Ukraine",169,"Ukraine","total  -  Crime"
"total  -  Documentary  -  Ukraine",30,"Ukraine","total  -  Documentary"
"total  -  Drama  -  Ukraine",334,"Ukraine","total  -  Drama"
"total  -  Mystery  -  Ukraine",45,"Ukraine","total  -  Mystery"
"total  -  Romance  -  Ukraine",73,"Ukraine","total  -  Romance"
"total  -  Thriller  -  Ukraine",73,"Ukraine","total  -  Thriller"
"total  -  Action  -  United Arab Emirates",203,"United Arab Emirates","total  -  Action"
"total  -  Adventure  -  United Arab Emirates",110,"United Arab Emirates","total  -  Adventure"
"total  -  Animation  -  United Arab Emirates",37,"United Arab Emirates","total  -  Animation"
"total  -  Comedy  -  United Arab Emirates",172,"United Arab Emirates","total  -  Comedy"
"total  -  Crime  -  United Arab Emirates",132,"United Arab Emirates","total  -  Crime"
"total  -  Drama  -  United Arab Emirates",350,"United Arab Emirates","total  -  Drama"
"total  -  Fantasy  -  United Arab Emirates",41,"United Arab Emirates","total  -  Fantasy"
"total  -  Mystery  -  United Arab Emirates",51,"United Arab Emirates","total  -  Mystery"
"total  -  Romance  -  United Arab Emirates",106,"United Arab Emirates","total  -  Romance"
"total  -  Thriller  -  United Arab Emirates",86,"United Arab Emirates","total  -  Thriller"
"total  -  Action  -  United Kingdom",177,"United Kingdom","total  -  Action"
"total  -  Adventure  -  United Kingdom",136,"United Kingdom","total  -  Adventure"
"total  -  Animation  -  United Kingdom",60,"United Kingdom","total  -  Animation"
"total  -  Comedy  -  United Kingdom",220,"United Kingdom","total  -  Comedy"
"total  -  Crime  -  United Kingdom",114,"United Kingdom","total  -  Crime"
"total  -  Documentary  -  United Kingdom",38,"United Kingdom","total  -  Documentary"
"total  -  Drama  -  United Kingdom",288,"United Kingdom","total  -  Drama"
"total  -  Fantasy  -  United Kingdom",40,"United Kingdom","total  -  Fantasy"
"total  -  Mystery  -  United Kingdom",38,"United Kingdom","total  -  Mystery"
"total  -  Romance  -  United Kingdom",76,"United Kingdom","total  -  Romance"
"total  -  Thriller  -  United Kingdom",73,"United Kingdom","total  -  Thriller"
"total  -  Action  -  United States",147,"United States","total  -  Action"
"total  -  Adventure  -  United States",115,"United States","total  -  Adventure"
"total  -  Animation  -  United States",48,"United States","total  -  Animation"
"total  -  Comedy  -  United States",170,"United States","total  -  Comedy"
"total  -  Crime  -  United States",116,"United States","total  -  Crime"
"total  -  Drama  -  United States",281,"United States","total  -  Drama"
"total  -  Mystery  -  United States",56,"United States","total  -  Mystery"
"total  -  Romance  -  United States",73,"United States","total  -  Romance"
"total  -  Sci Fi  -  United States",37,"United States","total  -  Sci Fi"
"total  -  Thriller  -  United States",46,"United States","total  -  Thriller"
"total  -  Action  -  Uruguay",131,"Uruguay","total  -  Action"
"total  -  Adventure  -  Uruguay",101,"Uruguay","total  -  Adventure"
"total  -  Animation  -  Uruguay",50,"Uruguay","total  -  Animation"
"total  -  Comedy  -  Uruguay",165,"Uruguay","total  -  Comedy"
"total  -  Crime  -  Uruguay",155,"Uruguay","total  -  Crime"
"total  -  Drama  -  Uruguay",371,"Uruguay","total  -  Drama"
"total  -  Music  -  Uruguay",35,"Uruguay","total  -  Music"
"total  -  Mystery  -  Uruguay",59,"Uruguay","total  -  Mystery"
"total  -  Romance  -  Uruguay",88,"Uruguay","total  -  Romance"
"total  -  Thriller  -  Uruguay",86,"Uruguay","total  -  Thriller"
"total  -  Action  -  Venezuela",131,"Venezuela","total  -  Action"
"total  -  Adventure  -  Venezuela",74,"Venezuela","total  -  Adventure"
"total  -  Animation  -  Venezuela",41,"Venezuela","total  -  Animation"
"total  -  Comedy  -  Venezuela",176,"Venezuela","total  -  Comedy"
"total  -  Crime  -  Venezuela",123,"Venezuela","total  -  Crime"
"total  -  Drama  -  Venezuela",322,"Venezuela","total  -  Drama"
"total  -  Music  -  Venezuela",27,"Venezuela","total  -  Music"
"total  -  Mystery  -  Venezuela",44,"Venezuela","total  -  Mystery"
"total  -  Romance  -  Venezuela",122,"Venezuela","total  -  Romance"
"total  -  Thriller  -  Venezuela",85,"Venezuela","total  -  Thriller"
"total  -  Action  -  Vietnam",254,"Vietnam","total  -  Action"
"total  -  Adventure  -  Vietnam",132,"Vietnam","total  -  Adventure"
"total  -  Comedy  -  Vietnam",237,"Vietnam","total  -  Comedy"
"total  -  Crime  -  Vietnam",119,"Vietnam","total  -  Crime"
"total  -  Drama  -  Vietnam",326,"Vietnam","total  -  Drama"
"total  -  Fantasy  -  Vietnam",43,"Vietnam","total  -  Fantasy"
"total  -  Mystery  -  Vietnam",51,"Vietnam","total  -  Mystery"
"total  -  Romance  -  Vietnam",127,"Vietnam","total  -  Romance"
"total  -  Sci Fi  -  Vietnam",52,"Vietnam","total  -  Sci Fi"
"total  -  Thriller  -  Vietnam",94,"Vietnam","total  -  Thriller"
